,image_id,split,sat_image_path,mask_path
0,215260,train,train/215260_sat.jpg,train/215260_mask.png
1,583569,train,train/583569_sat.jpg,train/583569_mask.png
2,293544,train,train/293544_sat.jpg,train/293544_mask.png
3,285361,train,train/285361_sat.jpg,train/285361_mask.png
4,105596,train,train/105596_sat.jpg,train/105596_mask.png
5,67889,train,train/67889_sat.jpg,train/67889_mask.png
6,870422,train,train/870422_sat.jpg,train/870422_mask.png
7,582884,train,train/582884_sat.jpg,train/582884_mask.png
8,441048,train,train/441048_sat.jpg,train/441048_mask.png
9,315179,train,train/315179_sat.jpg,train/315179_mask.png
10,626460,train,train/626460_sat.jpg,train/626460_mask.png
11,825538,train,train/825538_sat.jpg,train/825538_mask.png
12,643722,train,train/643722_sat.jpg,train/643722_mask.png
13,996964,train,train/996964_sat.jpg,train/996964_mask.png
14,828247,train,train/828247_sat.jpg,train/828247_mask.png
15,789021,train,train/789021_sat.jpg,train/789021_mask.png
16,500322,train,train/500322_sat.jpg,train/500322_mask.png
17,788114,train,train/788114_sat.jpg,train/788114_mask.png
18,491350,train,train/491350_sat.jpg,train/491350_mask.png
19,278569,train,train/278569_sat.jpg,train/278569_mask.png
20,415200,train,train/415200_sat.jpg,train/415200_mask.png
21,100034,train,train/100034_sat.jpg,train/100034_mask.png
22,185121,train,train/185121_sat.jpg,train/185121_mask.png
23,256332,train,train/256332_sat.jpg,train/256332_mask.png
24,631919,train,train/631919_sat.jpg,train/631919_mask.png
25,159273,train,train/159273_sat.jpg,train/159273_mask.png
26,996972,train,train/996972_sat.jpg,train/996972_mask.png
27,302836,train,train/302836_sat.jpg,train/302836_mask.png
28,961236,train,train/961236_sat.jpg,train/961236_mask.png
29,94034,train,train/94034_sat.jpg,train/94034_mask.png
30,665540,train,train/665540_sat.jpg,train/665540_mask.png
31,916323,train,train/916323_sat.jpg,train/916323_mask.png
32,347200,train,train/347200_sat.jpg,train/347200_mask.png
33,644508,train,train/644508_sat.jpg,train/644508_mask.png
34,893275,train,train/893275_sat.jpg,train/893275_mask.png
35,612298,train,train/612298_sat.jpg,train/612298_mask.png
36,69128,train,train/69128_sat.jpg,train/69128_mask.png
37,484976,train,train/484976_sat.jpg,train/484976_mask.png
38,379294,train,train/379294_sat.jpg,train/379294_mask.png
39,6383,train,train/6383_sat.jpg,train/6383_mask.png
40,27127,train,train/27127_sat.jpg,train/27127_mask.png
41,854119,train,train/854119_sat.jpg,train/854119_mask.png
42,199397,train,train/199397_sat.jpg,train/199397_mask.png
43,364453,train,train/364453_sat.jpg,train/364453_mask.png
44,941094,train,train/941094_sat.jpg,train/941094_mask.png
45,300983,train,train/300983_sat.jpg,train/300983_mask.png
46,839007,train,train/839007_sat.jpg,train/839007_mask.png
47,611848,train,train/611848_sat.jpg,train/611848_mask.png
48,485516,train,train/485516_sat.jpg,train/485516_mask.png
49,283650,train,train/283650_sat.jpg,train/283650_mask.png
50,601618,train,train/601618_sat.jpg,train/601618_mask.png
51,649332,train,train/649332_sat.jpg,train/649332_mask.png
52,969845,train,train/969845_sat.jpg,train/969845_mask.png
53,669960,train,train/669960_sat.jpg,train/669960_mask.png
54,417665,train,train/417665_sat.jpg,train/417665_mask.png
55,168428,train,train/168428_sat.jpg,train/168428_mask.png
